elapsedTime,Systemzeit,PosX,PosY,PosZ,NcBlock,Programmname,Werkzeugname,Programmstatus,Betriebsart,DrivePower,DrivePowerX,DrivePowerY,DrivePowerZ,DrivePowerA,DrivePowerC,DrivePowerSpindle,VorschubX,VorschubY,VorschubZ,Spindeldrehzahl,BeschleunigungX,BeschleunigungY,BeschleunigungZ,Spindelbeschleunigung,Hauptversorgung,24V-Versorgung,Antriebe,Bandfilteranlage,Hebepumpe,Kühlung,KühlungSchaltschrank,Späneförderer,NebelRauchabscheider,AirPower_Hauptversorgung,AirPower_Blum,AirPower_Hauptventilblock,AirPower_BlasluftKegelreinigung,AirPower_KlemmungTisch,AirPower_NPS,AirPower_Werkzeugkühlung,AirPower_ÖlLuftschmierungSpindel,AirPower_Sperrluft,AirPower_BlasluftSpindelMitte,TemperaturAußen,TemperaturArbeitsraum,Signallampe_rot,Signallampe_grün,Signallampe_blau,Signallampe_gelb,Späneförderer_vorwärts,Späneförderer_rückwärts,Späneförderer_Pumpe,Hebepumpe_aktiv,Nebelabscheider,Spülpistole,Schaltschrank_Temperatur,Tür_gesperrt
0.19,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2076.03,415.62,732.99,0,0,1333.22,62.55,0,0,2644.2,54.6,2655.9,0,0,0,0,794.27,1401.43,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
0.31,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2076.03,415.62,732.99,0,0,1333.22,62.55,0,0,2644.2,54.6,2655.9,0,0,0,0,794.27,1400.1,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
0.435,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2076.03,415.62,732.99,0,0,1333.22,62.55,0,0,2644.2,54.6,2655.9,0,0,0,0,794.27,1400.1,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
0.558,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2081.45,419.31,730.89,0,0,1329.7,62.44,0,0,2644.2,54.6,2655.9,0,0,0,0,794.27,1398.77,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
0.667,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2081.45,419.31,730.89,0,0,1329.7,62.44,0,0,2631.17,54.6,2655.9,0,0,0,0,795.6,1398.77,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
0.783,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2081.45,419.31,730.89,0,0,1329.7,62.44,0,0,2635.07,54.6,2654.57,0,0,0,0,795.6,1398.77,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
0.916,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2081.45,419.31,730.89,0,0,1329.7,62.44,0,0,2642.87,54.6,2654.57,0,0,35.1,0,795.6,1398.77,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
1.045,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2050.82,417.09,732.01,0,0,1307.71,62.37,0,0,2654.57,59.83,2644.2,0,0,41.57,0,795.6,1398.77,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
1.154,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2050.82,417.09,732.01,0,0,1307.71,62.37,0,0,2654.57,64.97,2642.87,0,0,41.57,0,795.6,1398.77,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
1.267,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2050.82,417.09,732.01,0,0,1307.71,62.37,0,0,2662.37,66.3,2646.77,0,0,37.67,0,796.93,1398.77,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
1.388,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2050.82,417.09,732.01,0,0,1307.71,62.39,0,0,2670.17,66.3,2644.2,0,0,29.87,0,795.6,1398.77,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
1.522,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015.93,414.39,755.68,0,0,1278.63,62.39,0,0,2672.83,66.3,2644.2,0,0,23.4,0,795.6,1398.77,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
1.615,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015.93,414.39,755.68,0,0,1278.63,62.39,0,0,2672.83,66.3,2644.2,0,0,23.4,0,795.6,1398.77,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
1.727,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015.93,414.39,755.68,0,0,1278.63,62.39,0,0,2672.83,66.3,2644.2,0,0,23.4,0,795.6,1398.77,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
1.854,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015.93,414.39,755.68,0,0,1278.63,62.39,0,0,2672.83,66.3,2644.2,0,0,23.4,0,795.6,1398.77,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
1.963,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003.16,414.09,753.25,0,0,1264.27,62.53,0,0,2672.83,66.3,2644.2,0,0,23.4,0,795.6,1398.77,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
2.091,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003.16,414.09,753.25,0,0,1264.27,62.53,0,0,2672.83,66.3,2644.2,0,0,23.4,0,795.6,1401.43,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
2.215,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003.16,414.09,753.25,0,0,1264.27,62.53,0,0,2672.83,66.3,2644.2,0,0,23.4,0,795.6,1402.67,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
2.344,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003.16,414.09,753.25,0,0,1264.27,62.53,0,0,2672.83,66.3,2644.2,0,0,23.4,0,795.6,1401.43,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
2.471,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995.82,414.34,779.12,0,0,1262.16,62.51,0,0,2672.83,66.3,2644.2,0,0,23.4,0,795.6,1402.67,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
2.592,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995.82,414.34,779.12,0,0,1262.16,62.51,0,0,2672.83,66.3,2644.2,0,0,23.4,0,794.27,1401.43,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
2.718,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995.82,414.34,779.12,0,0,1262.16,62.51,0,0,2637.73,66.3,2644.2,0,0,23.4,0,794.27,1402.67,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
2.841,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995.82,414.34,748.18,0,0,1262.16,62.54,0,0,2637.73,66.3,2644.2,0,0,23.4,0,794.27,1402.67,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
2.938,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988.82,414.51,748.18,0,0,1257.64,62.54,0,0,2637.73,66.3,2644.2,0,0,23.4,0,794.27,1401.43,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
3.058,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988.82,414.51,748.18,0,0,1257.64,62.54,0,0,2637.73,66.3,2644.2,0,0,23.4,0,794.27,1401.43,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
3.187,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988.82,414.51,748.18,0,0,1257.64,62.54,0,0,2637.73,66.3,2644.2,0,0,23.4,0,794.27,1401.43,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
3.307,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988.82,414.51,748.18,0,0,1257.64,62.54,0,0,2637.73,66.3,2644.2,0,0,23.4,0,794.27,1401.43,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
3.418,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989.99,413.53,794.66,0,0,1255.75,62.6,0,0,2637.73,66.3,2644.2,0,0,23.4,0,794.27,1400.1,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
3.528,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989.99,413.53,794.66,0,0,1255.75,62.6,0,0,2637.73,66.3,2644.2,0,0,23.4,0,794.27,1400.1,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
3.653,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989.99,413.53,794.66,0,0,1255.75,62.6,0,0,2637.73,66.3,2644.2,0,0,23.4,0,794.27,1400.1,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
3.776,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989.99,413.53,794.66,0,0,1255.75,62.6,0,0,2637.73,66.3,2644.2,0,0,23.4,0,794.27,1400.1,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
3.876,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994.72,414.44,773.13,0,0,1262.78,62.65,0,0,2637.73,66.3,2644.2,0,0,23.4,0,794.27,1400.1,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
3.982,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994.72,414.44,773.13,0,0,1262.78,62.65,0,0,2637.73,66.3,2644.2,0,0,23.4,0,794.27,1400.1,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
4.108,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994.72,414.44,773.13,0,0,1262.78,62.65,0,0,2637.73,57.17,2648.1,0,0,3.9,0,798.17,1400.1,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
4.215,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994.72,414.44,773.13,0,0,1262.78,62.65,0,0,2648.1,57.17,2648.1,0,0,0,0,798.17,1400.1,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
4.325,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993.28,414.44,762.21,0,0,1260.32,62.65,0,0,2648.1,54.6,2640.3,0,0,0,0,794.27,1400.1,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
4.425,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993.28,414.44,762.21,0,0,1260.32,62.65,0,0,2641.63,54.6,2645.53,0,0,0,0,794.27,1400.1,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
4.559,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993.28,414.44,762.21,0,0,1260.32,62.65,0,0,2636.4,54.6,2653.33,0,0,0,0,794.27,1400.1,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
4.673,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993.28,414.44,762.21,0,0,1260.32,62.65,0,0,2636.4,54.6,2653.33,0,0,0,0,794.27,1400.1,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
4.791,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993.54,414.06,762.21,0,0,1256.66,62.62,0,0,2635.07,54.6,2662.37,0,0,0,0,795.6,1402.67,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
